"Timestamp","What is your current graduation year?","How would you describe your gender identity? Check all that apply.","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","How old are you?","How has your political ideology changed since coming to Brown?","What do you think is the median household income in the U.S.?","To what extent do you agree with the following statement: 
Shared religious beliefs are important for a successful romantic relationship.","Do you want to get married?","Do you want to be a stay-at-home parent?","How many siblings do you have?","Check all that apply:","What is the maximum age of a person you would be in a romantic relationship with?","Have you ever been physically intimate with someone in a non-dorm Brown building?","Consider the following hypothetical scenario:
A runaway trolley is headed down a railway track. On its current path, it will run over and kill 5 people. If you pull a lever, you can divert its path to run over and kill 1 person instead.
What do you do?"
"2024/04/09 10:05:52 AM AST","2024.5","Man","White","Social Sciences (including economics, CLPS)","19","I have become more conservative","40000","Somewhat disagree","Yes","Unsure","2","I have (a) younger sibling(s)","23","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:07:31 AM AST","2025.5","Man","White","Social Sciences (including economics, CLPS)","20","Unsure","50000","Somewhat disagree","Yes","No","2","I have (a) younger sibling(s)","22","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:07:34 AM AST","2026","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","19","My political ideology has not changed","35000","Somewhat agree","Unsure","Unsure","1","I have (an) older sibling(s)","","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:09:26 AM AST","2027","Woman","White","Physical Sciences (including math, computer science)","18","I have become more conservative","60000","Strongly agree","Yes","Unsure","2","I have (a) younger sibling(s)","22","Yes","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 10:09:57 AM AST","2025","Woman","Black","Life Sciences","21","I have become more liberal","60000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","24","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:10:47 AM AST","2027","Woman","White","Life Sciences","18","I have become more liberal","60000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","21","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:14:34 AM AST","2027","Woman","Asian","Life Sciences","18","I have become more liberal","100000","Somewhat agree","Yes","Yes","1","I have (a) younger sibling(s)","20","Yes","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 10:16:13 AM AST","2027","Woman","White","Life Sciences","19","My political ideology has not changed","100000","Somewhat agree","Yes","I don't plan to be a parent","0","I have no siblings","40","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:17:16 AM AST","2026","Woman","Hispanic or Latino;White","Social Sciences (including economics, CLPS)","20","I have become more conservative","30000","Somewhat agree","Yes","Unsure","2","I have (an) older sibling(s)","22","No","Unsure"
"2024/04/09 10:17:34 AM AST","2026","Woman","White","Life Sciences;Physical Sciences (including math, computer science)","19","My political ideology has not changed","60000","Somewhat disagree","Yes","No","2","I have (an) older sibling(s)","","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:17:36 AM AST","2026","Man","White","Physical Sciences (including math, computer science)","20","My political ideology has not changed","70000","Somewhat disagree","Unsure","No","2","I have (an) older sibling(s)","32","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:20:25 AM AST","2027","Woman","Asian;White","Humanities/Arts;Physical Sciences (including math, computer science)","19","My political ideology has not changed","40000","Strongly disagree","No","I don't plan to be a parent","1","I am a twin or triplet","20","No","Prefer not to answer"
"2024/04/09 10:21:07 AM AST","2024","Man","Asian;White","Life Sciences;Social Sciences (including economics, CLPS)","","I have become more conservative","67000","Somewhat disagree","Yes","No","1","I have (an) older sibling(s)","25","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 10:21:52 AM AST","2027","Man","Asian","Physical Sciences (including math, computer science)","19","I have become more conservative","60000","Strongly agree","Yes","No","1","I have (a) younger sibling(s)","22","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:23:01 AM AST","2027","Man","White","Life Sciences","20","My political ideology has not changed","30000","Somewhat agree","Yes","Unsure","0","I have no siblings","21","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 10:23:23 AM AST","2027","Woman","Asian;White","Life Sciences","19","My political ideology has not changed","25","Strongly disagree","Yes","No","0","I have no siblings","21","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:23:29 AM AST","2027","Man","Asian","Life Sciences;Physical Sciences (including math, computer science)","18","I have become more conservative","60000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","45","No","Unsure"
