"Timestamp","What is your current graduation year?","How would you describe your race and ethnicity? Check all that apply.","What is your intended concentration area(s)?","How would you describe your gender identity? Check all that apply.","Do you identify as LGBTQ+?","Have you ever taken piano lessons?","Do you have a driver's license?","Do you believe that President Donald Trump is a threat to democracy?","Do you take any prescription medications to treat depression or anxiety?","Should Brown require applicants to submit a standardized test score? (SAT/ACT)","Do you credit Brown career services, at least in part, with helping you secure an internship or full-time job?","Do any of your parent(s) or guardian(s) own a gun?","In a romantic context, would you rather be rejected because of your looks or personality?","Have you ever undergone a procedure for primarily cosmetic purposes?","What is the capital of Canada?"
"2025/04/15 10:44:51 AM AST","2027","White","Life Sciences;Social Sciences","Man","Yes","No","Yes","Yes","No, I never have","No","No","No","I would rather be rejected because of my looks","No","Ottawa"
"2025/04/15 10:51:25 AM AST","2027","Asian","Physical Sciences","Man","No","Yes","Yes","Yes","No, I never have","Yes","Yes","No","I would rather be rejected because of my looks","No","Ontario"
"2025/04/15 10:59:07 AM AST","2027","White","Physical Sciences","Woman","No","Yes","No","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my personality","No","Ottawa"
"2025/04/15 11:00:31 AM AST","2026","Asian","Physical Sciences","Man","No","No","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my personality","No","Ottowa "
"2025/04/15 11:07:59 AM AST","2027","Hispanic or Latino;White","Physical Sciences","Woman","No","No","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my personality","No","Ottawa"
"2025/04/15 11:13:24 AM AST","2028","White","Physical Sciences;Social Sciences","Woman","No","No","No","Prefer not to answer","Unsure","Yes","Unsure","No","I would rather be rejected because of my personality","No","Montreal "
"2025/04/15 11:20:38 AM AST","2025","White","Physical Sciences","Woman","Yes","Yes","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my looks","No","Ottowa"
"2025/04/15 11:25:56 AM AST","2025","Asian","Life Sciences;Social Sciences","Woman","No","Yes","No","Yes","No, but I have in the past","Unsure","No","No","I would rather be rejected because of my looks","No","Ottowa"
"2025/04/15 11:27:03 AM AST","2026","White","Life Sciences;Physical Sciences","Man","No","No","No","No","No, I never have","Yes","No","No","I would rather be rejected because of my personality","No","Ottawa"
"2025/04/15 11:30:16 AM AST","2028","Asian","Physical Sciences","Man","No","Yes","Yes","Yes","No, I never have","Unsure","No","Yes","I would rather be rejected because of my personality","No","i dont know"
