"Timestamp","How would you describe your gender identity? Check all that apply.","How would you describe your race and ethnicity? Check all that apply.","How would you describe your sexual orientation? Check all that apply.","What is your current graduation year?","What is your (intended) concentration area(s)?","Do you have a parent, grandparent, or sibling who attended Brown? (Check all that apply)","How concerned are you about the spread of COVID-19 on campus?","Have you ever had a fake ID?","Do you approve or disapprove of the way President Christina Paxson is handling her job?","Are you generally happy?","Are you planning to vote in the November elections?","Agree or disagree: Brown should reduce grade inflation. ","Have you attended a protest in your time at Brown?","Which of the following best describes your current relationship status?","Have you ever cheated on/been cheated on by your significant other? (check all that apply)","Have you had an appointment at Counseling and Psychological Services (CAPS) this semester?","Have you benefited from a program or service provided by the Undergraduate Council of Students (UCS) in your time at Brown?"
"2022/10/11 9:08:12 AM AST","Male","White","Straight","2024","Humanities/Arts","Yes, sibling","Not concerned","Yes","Strongly approve","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","Yes, on campus and in Providence","In a casual relationship","I have had a significant other and never cheated/been cheated on","Yes, more than one week after requesting it","Yes"
"2022/10/11 9:13:06 AM AST","Female","White","Straight","2025","Humanities/Arts","Yes, parent","Not concerned","Yes","Strongly approve","Yes, very happy","Yes, in Rhode Island (which is not my home state)","Somewhat agree","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 9:15:28 AM AST","Female","Black;White","Bisexual","2025","Unsure","No","Somewhat concerned","No","Somewhat approve","No, somewhat unhappy","Prefer not to answer","Somewhat disagree","Prefer not to answer","In a long-term relationship","I have been cheated on by my significant other","Prefer not to answer","Yes"
"2022/10/11 9:18:16 AM AST","Male","White","Straight","2025","Life Sciences;Physical Sciences (including math, computer science)","No","Not concerned","Yes","Somewhat disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 9:18:25 AM AST","Male","White","Straight","2025","Life Sciences","No","Slightly concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","Yes, on campus","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Yes"
"2022/10/11 9:24:00 AM AST","Prefer not to answer","Prefer not to answer","Straight","2024","Physical Sciences (including math, computer science)","No","Not concerned","No","Somewhat approve","Yes, very happy","I am not eligible to vote","Neutral","No","Prefer not to answer","Prefer not to answer","Yes, within one week of requesting it","No"
"2022/10/11 9:24:10 AM AST","Female","White","Straight","2026","Life Sciences;Physical Sciences (including math, computer science)","No","Slightly concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat agree","No","Single and looking for something casual","I have never had a significant other","No, and I did not try to make an appointment","Yes"
"2022/10/11 9:26:03 AM AST","Male","White","Straight","2024","Physical Sciences (including math, computer science)","No","Not concerned","Unsure","Somewhat approve","Yes, very happy","Yes, in Rhode Island (which is not my home state)","Somewhat agree","Yes, in Providence","Single and looking for something casual","I have cheated on my significant other;I have been cheated on by my significant other","Yes, more than one week after requesting it","Yes"
"2022/10/11 9:28:04 AM AST","Female","Hispanic;White","Straight","2025","Life Sciences;Social Sciences","No","Not concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","Single and looking for something casual","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 9:29:57 AM AST","Female","White","Straight;Questioning or unsure","2025","Humanities/Arts;Social Sciences","Yes, parent","Not concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","Yes, in Rhode Island (which is not my home state)","Strongly disagree","No","Single and looking for something casual","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 9:32:46 AM AST","Female","White","Straight","2025","Physical Sciences (including math, computer science)","No","Not concerned","Yes","Somewhat approve","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","Yes, within one week of requesting it","No"
"2022/10/11 9:42:31 AM AST","Female","Hispanic","Straight","2023","Life Sciences","No","Somewhat concerned","No","Strongly approve","Yes, very happy","No","Somewhat agree","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Yes"
"2022/10/11 9:51:33 AM AST","Male","White","Straight","2024","Physical Sciences (including math, computer science)","No","Not concerned","Yes","Somewhat approve","Yes, somewhat happy","Yes, in Rhode Island (which is not my home state)","Somewhat agree","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
