"Timestamp","What is your current graduation year?","How would you describe your gender identity? Check all that apply.","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","To what extent do you agree with the following statement: Joe Biden is too old to be an effective president.","To what extent do you agree with the following statement: Donald Trump is too old to be an effective president.","Should Brown have institutional neutrality? [""Institutional neutrality is the idea that colleges and universities should not, as institutions, take positions on social and political issues""]

(Definition from the Foundation for Individual Rights and Expression)","Do you identify more closely with capitalist or communist values?","How would you rate the effectiveness of using social media for political activism?","Do you think you are more lonely than the average Brown student?","Would you rather receive a final grade of a B or an S in a course?","Have you ever shoplifted before?","What is your love language?"
"2024/03/05 9:12:39 AM EST","2027","Man","White","Social Sciences (including economics, CLPS)","Somewhat disagree","Somewhat disagree","No, Brown should not have institutional neutrality","Unsure","Somewhat effectice","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/05 9:59:20 AM EST","2026","Non-binary","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Prefer not to answer","Yes, slightly more lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/05 10:00:38 AM EST","2026","Woman","White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 10:02:06 AM EST","2027","Man","Asian","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 10:03:40 AM EST","2026","Man","Asian","Humanities/Arts","Unsure","Somewhat disagree","Unsure","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 10:05:06 AM EST","2027","Man","White","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very effective","Unsure","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 10:05:29 AM EST","2024","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/05 10:06:51 AM EST","2025","Woman","White","Life Sciences","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of a B","Yes","Words of affirmation"
"2024/03/05 10:10:15 AM EST","2025","Woman","White","Humanities/Arts","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with communist values","Very ineffective","Unsure","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/05 10:12:12 AM EST","2027","Woman","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very ineffective","No, slightly less lonely","I would rather receive a final grade of a B","No","Words of affirmation"
"2024/03/05 10:13:07 AM EST","2024","Woman","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","Prefer not to answer","Unsure","Unsure","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 10:14:03 AM EST","2027","Woman","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat disagree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 10:14:24 AM EST","2026","Woman","White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","Unsure","Very ineffective","No, significantly less lonely","I would rather receive a final grade of a B","No","I do not believe in love languages"
"2024/03/05 10:15:16 AM EST","2026","Man","Asian","Life Sciences","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Unsure","I would rather receive a final grade of a B","No","Acts of service"
"2024/03/05 10:16:52 AM EST","2025","Woman","Black","Life Sciences;Physical Sciences (including math, computer science)","Strongly agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of a B","No","Physical touch"
"2024/03/05 10:17:48 AM EST","2027","Woman","Black;White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","Yes, significantly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 10:18:51 AM EST","2027","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","I do not believe in love languages"
"2024/03/05 10:19:24 AM EST","2027","Woman","Black;White","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Unsure","I identify more closely with communist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Gift giving"
"2024/03/05 10:19:53 AM EST","2026","Woman","Middle Eastern or North African","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of a B","Yes","Physical touch"
"2024/03/05 10:21:10 AM EST","2026","Woman","Hispanic or Latino","Humanities/Arts","Somewhat agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Very effective","Yes, significantly more lonely","I would rather receive a final grade of a B","No","Physical touch"
"2024/03/05 10:22:15 AM EST","2024","Woman;Non-binary","White","Physical Sciences (including math, computer science)","Somewhat agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","I do not believe in love languages"
"2024/03/05 10:22:48 AM EST","2024","Man","Asian;Hispanic or Latino","Humanities/Arts","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Very effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 10:23:22 AM EST","2027","Woman","White","Life Sciences","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of a B","Yes","Physical touch"
"2024/03/05 10:24:02 AM EST","2027","Woman","White","Physical Sciences (including math, computer science)","Somewhat agree","Prefer not to answer","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/05 10:25:08 AM EST","2025","Man","White","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of a B","No","Acts of service"
"2024/03/05 10:26:16 AM EST","2024","Man","Asian;White","Life Sciences","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/05 10:26:56 AM EST","2025","Woman","Asian","Humanities/Arts;Life Sciences;Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Acts of service"
"2024/03/05 10:27:29 AM EST","2025","Woman","Asian","Life Sciences","Unsure","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Very effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/05 10:28:01 AM EST","2025","Woman","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/05 10:28:49 AM EST","2025","Woman","White","Humanities/Arts","Somewhat agree","Strongly agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Gift giving"
"2024/03/05 10:29:56 AM EST","2024.5","Man","White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","Prefer not to answer","Unsure","Quality time"
"2024/03/05 10:30:11 AM EST","2025","Man","White","Social Sciences (including economics, CLPS)","Strongly disagree","Strongly disagree","Unsure","I identify more closely with capitalist values","Unsure","Unsure","I would rather receive a final grade of a B","No","Quality time"
"2024/03/05 10:32:55 AM EST","2024","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat disagree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with communist values","Very effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 10:32:59 AM EST","2024","Woman","Black;Hispanic or Latino","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","Unsure","I would rather receive a final grade of an S","No","I do not believe in love languages"
"2024/03/05 10:34:34 AM EST","2027","Woman","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 10:34:40 AM EST","2027","Woman","Black;White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/05 10:36:58 AM EST","2026","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/05 10:38:56 AM EST","2026","Woman","Asian","Humanities/Arts","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Physical touch"
