"Timestamp","What is your current graduation year?","How would you describe your race and ethnicity? Check all that apply.","What is your intended concentration area(s)?","How would you describe your gender identity? Check all that apply.","Do you identify as LGBTQ+?","Overall, how would you describe your political views relative to those of your parents? ","Have you ever been evaluated by Brown EMS (Emergency Medical Services)? Select all that apply.","How old was your mother when she had you? Enter -1 if unsure.","Were you allowed to watch SpongeBob SquarePants as a kid?","How did you meet your most recent significant other? Pick the option that best applies.","What percentage of Brown students do you think come from a family in the top 1% of household incomes?","What is the minimum salary you would require to work in a role that directly conflicts with your morals? 

Enter -1 if you would not do this for any amount of money.","Which of the following substances have you used recreationally in the past six months?","Do you change with your blinds open?"
"2025/03/04 10:19:04 AM EST","2027","Asian;White","Physical Sciences","Woman","No","My views are similar to those of my parents","No","35","No","High school","8","-1","None of the above","No"
"2025/03/04 10:56:15 AM EST","2027","White","Social Sciences","Woman","Yes","My views are somewhat more liberal","No","33","No","Dating app","15","1000000","Alcohol;Marijuana","Yes, and I do think people can see me"
"2025/03/04 11:08:14 AM EST","2027","White","Humanities/ Arts;Social Sciences","Woman","Yes","My views are similar to those of my parents","No","-1","Yes","mistake","38","-1","Prefer not to answer","No"
"2025/03/04 11:13:17 AM EST","2025","Asian","Physical Sciences","Woman","No","My views are much more liberal","No","37","No","Class","35","-1","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 11:16:55 AM EST","2028","Asian","Humanities/ Arts;Life Sciences","Woman","No","My views are somewhat more conservative","No","31","Yes","High school","20","700000","Alcohol","No"
"2025/03/04 11:17:10 AM EST","2028","Asian","Life Sciences","Woman","No","My views are somewhat more conservative","No","-1","Yes","I have not had a significant other","70","700000","None of the above","No"
"2025/03/04 11:18:21 AM EST","2028","Asian","Life Sciences","Man","No","My views are somewhat more liberal","No","1","Yes","I have not had a significant other","10","1","Alcohol","No"
"2025/03/04 11:18:38 AM EST","2028","Asian;Hispanic or Latino;White","Humanities/ Arts;Social Sciences","Man","No","My views are similar to those of my parents","No","-1","Yes","Class","20","-1","Alcohol","No"
"2025/03/04 11:20:20 AM EST","2028","Asian","Physical Sciences","Man","No","My views are similar to those of my parents","Yes, for an incident involving drugs and/or alcohol","32","Yes","I have not had a significant other","10","500000","Alcohol","No"
"2025/03/04 11:20:39 AM EST","2028","Asian","Physical Sciences","Man","No","My views are similar to those of my parents","No","23","Yes","High school","30","1000000","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 11:21:50 AM EST","2025.5","Asian","Humanities/ Arts","Non-binary","Yes","My views are much more liberal","Yes, for an incident involving drugs and/or alcohol;Yes, for a different reason","26","Yes","Dating app","7","200000","Alcohol;Marijuana","No"
"2025/03/04 11:23:45 AM EST","2025","White","Social Sciences","Woman","Unsure","My views are somewhat more liberal","No","35","Yes","I have not had a significant other","20","200000","Alcohol;Marijuana;Nicotine","Yes, but I don't think people can see me"
"2025/03/04 11:24:17 AM EST","2025","Asian","Life Sciences","Woman","Yes","My views are somewhat more liberal","No","34","No","I have not had a significant other","18","250000","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 11:25:37 AM EST","2028","Asian","Physical Sciences","Man","No","My views are somewhat more liberal","No","-1","Yes","I have not had a significant other","60","500000","None of the above;Unsure","Yes, but I don't think people can see me"
"2025/03/04 11:26:15 AM EST","2028","Asian","Humanities/ Arts;Physical Sciences","Man","No","My views are somewhat more liberal","No","-1","Yes","I have not had a significant other","29","800000","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 11:27:01 AM EST","2028","Asian","Humanities/ Arts;Life Sciences","Woman","No","My views are much more liberal","No","-1","Unsure","I have not had a significant other","50","400000","Alcohol;Marijuana","Yes, and I do think people can see me"
"2025/03/04 11:27:22 AM EST","2028","Hispanic or Latino","Life Sciences","Man","Yes","My views are somewhat more liberal","No","24","Yes","I have not had a significant other","65","-1","None of the above","No"
"2025/03/04 11:28:15 AM EST","2027","White","Life Sciences","Woman","No","My views are similar to those of my parents","No","30","Unsure","High school","3","10000","Prefer not to answer","Yes, but I don't think people can see me"
"2025/03/04 11:30:41 AM EST","2025","White","Physical Sciences;Social Sciences","Man","No","My views are somewhat more liberal","No","36","Yes","High school","50","150000","None of the above","No"
"2025/03/04 11:32:38 AM EST","2026","White","Life Sciences","Man","No","My views are somewhat more liberal","No","35","Yes","High school","15","400000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 11:33:18 AM EST","2026","White","Physical Sciences;Social Sciences","Man","No","My views are somewhat more liberal","No","37","Yes","Party/social event","45","1000000","Alcohol;Marijuana;Nicotine","Yes, but I don't think people can see me"
"2025/03/04 11:33:33 AM EST","2027","White","Humanities/ Arts;Social Sciences","Man","Yes","My views are similar to those of my parents","No","40","Yes","I have not had a significant other","8","1500000","Alcohol;Ketamine;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 11:33:46 AM EST","2027","Asian","Life Sciences","Woman","No","My views are somewhat more liberal","No","33","Yes","I have not had a significant other","6","-1","None of the above","No"
"2025/03/04 11:35:17 AM EST","2025","Asian","Physical Sciences","Woman","Unsure","My views are somewhat more liberal","No","30","Yes","Prefer not to answer","30","-1","Alcohol","No"
"2025/03/04 11:35:42 AM EST","2027","Black;White","Life Sciences;Social Sciences","Man","No","Prefer not to answer","No","29","No","High school","65","100000000","Alcohol;Marijuana;Nicotine","No"
"2025/03/04 11:35:47 AM EST","2027","Hispanic or Latino","Physical Sciences","Woman","No","My views are similar to those of my parents","No","30","Yes","High school","30","300000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 11:37:13 AM EST","2026","White","Humanities/ Arts;Physical Sciences","Man","No","My views are somewhat more liberal","No","30","Yes","Party/social event","18","500000","None of the above","Yes, but I don't think people can see me"
"2025/03/04 11:37:43 AM EST","2026","White","Life Sciences","Man","No","My views are somewhat more conservative","No","38","Yes","I have not had a significant other","10","300000","Alcohol","No"
