"Timestamp","What is your current graduation year?","How would you describe your gender identity? Check all that apply.","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","To what extent do you agree or disagree with the following statement: I feel comfortable expressing my political opinions on Brown’s campus.","Have you attended a protest in your time at Brown?","To what extent do you agree with the following statement: It is possible for Israel and an independent Palestinian state to coexist peacefully.","Should the 20 members of BrownU Jews for Ceasefire Now who staged a sit-in at University Hall face disciplinary action from the University?","To what extent do you agree or disagree with recent calls for Brown University to divest its endowment from weapons manufacturers supplying the Israeli army?","Have you been to therapy (psychological or emotional counseling) before?","On average, how many class meetings (including lectures, seminars, labs, conference sections, etc.) do you skip per week?","Do you think your concentration/double-concentration is harder or easier than the majority of other concentrations at Brown?","Do you think humans are inherently monogamous (are inclined to commit to only one person at a time)?","When was the last time you masturbated?"
"2023/11/28 10:07:15 AM EST","2026","Woman","White","Social Sciences (including economics, CLPS)","Strongly agree","No","Unsure","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is easier than the majority of other concentrations","Unsure","Prefer not to answer"
"2023/11/28 10:10:30 AM EST","2024","Woman","Hispanic or Latino;White","Humanities/Arts","Somewhat agree","Yes","Somewhat disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","2","Unsure","Unsure","In the last month"
"2023/11/28 10:11:08 AM EST","2024","Man","Asian","Humanities/Arts","Somewhat disagree","Yes","Strongly disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","1","My concentration is harder than the majority of other concentrations","Yes","Yesterday"
"2023/11/28 10:11:42 AM EST","2025","Woman","Asian","Social Sciences (including economics, CLPS)","Somewhat agree","No","Somewhat disagree","No","Strongly agree","I have never been to therapy","0","Unsure","Yes","In the last month"
"2023/11/28 10:12:32 AM EST","2025.5","Woman","Asian","Social Sciences (including economics, CLPS)","Strongly agree","Yes","Unsure","No","Unsure","I am currently going to therapy","0","My concentration is easier than the majority of other concentrations","Yes","Prefer not to answer"
"2023/11/28 10:13:39 AM EST","2026","Man","Hispanic or Latino;White","Physical Sciences (including math, computer science)","Strongly disagree","No","Somewhat agree","No","Somewhat agree","I have never been to therapy","0","My concentration is harder than the majority of other concentrations","Yes","Prefer not to answer"
"2023/11/28 10:14:48 AM EST","2026","Woman","White","Humanities/Arts;Life Sciences","Somewhat agree","No","Somewhat agree","No","Somewhat disagree","I have never been to therapy","0","My concentration is harder than the majority of other concentrations","No","In the last year"
"2023/11/28 10:15:16 AM EST","2025.5","Woman","Black;White","Life Sciences","Somewhat disagree","No","Somewhat agree","No","Strongly disagree","I am currently going to therapy","0","Unsure","Yes","I have never masturbated"
"2023/11/28 10:16:46 AM EST","2026","Woman","White","Social Sciences (including economics, CLPS)","Strongly agree","No","Somewhat agree","No","Strongly agree","I have never been to therapy","1","My concentration is easier than the majority of other concentrations","No","In the last month"
"2023/11/28 10:17:21 AM EST","2027","Woman","Black","Physical Sciences (including math, computer science)","Somewhat agree","No","Strongly agree","No","Strongly agree","I have never been to therapy","1","My concentration is harder than the majority of other concentrations","Yes","Yesterday"
