"Timestamp","What is your current graduation year?","What is your (intended) concentration area(s)?","How would you describe your gender identity? Check all that apply.","Which of the following do you consider yourself to be?","How would you describe your race and ethnicity? Check all that apply.","Do you participate in athletics at Brown? Select all that apply.","How would you describe your political views?","Would you drop out of Brown for a million dollars? (You cannot enroll elsewhere)","To what extent do you agree with the following statement: Our country needs to reduce political correctness and cancel culture.","Which would you rather have guaranteed upon graduation?","Have you ever ended a friendship over a difference in political opinion?","Do you consider yourself neurodivergent?","How serious a problem do you think illegal immigration is for the United States right now?","To what extent do you agree with the following statement: I feel satisfied with my social experience at Brown.","Would you rather die now or live forever?"
"2024/11/19 10:08:01 AM EST","2025","Physical Sciences (including math, computer science)","Woman","Bisexual;Queer","Asian;White","Yes, club athletics","Very liberal","Yes","Somewhat disagree","Ideal romantic partner","Yes","No","Not too serious","Strongly agree","Live forever"
"2024/11/19 10:08:02 AM EST","2027","Prefer not to answer","Woman","Prefer not to answer","Asian","No, I do not participate in varsity or club athletics","Unsure","Yes","Somewhat agree","Dream job","No","Yes","Not too serious","Unsure","Die now"
"2024/11/19 10:09:27 AM EST","2028","Physical Sciences (including math, computer science)","Woman","Straight","Asian","Yes, club athletics","Liberal","No","Strongly disagree","Dream job","No","No","Not too serious","Somewhat agree","Live forever"
"2024/11/19 10:10:53 AM EST","2028","Life Sciences;Physical Sciences (including math, computer science)","Woman","Straight","Hispanic or Latino;White","No, I do not participate in varsity or club athletics","Liberal","No","Prefer not to answer","Ideal romantic partner","No","No","Prefer not to answer","Strongly disagree","Live forever"
"2024/11/19 10:13:16 AM EST","2027","Physical Sciences (including math, computer science)","Non-binary","Pansexual;Queer","Asian","No, I do not participate in varsity or club athletics","Very liberal","Yes","Strongly disagree","Dream job","Unsure","Yes","Not at all serious","Somewhat agree","Live forever"
"2024/11/19 10:15:48 AM EST","2026","Humanities/Arts;Physical Sciences (including math, computer science)","Man","Prefer not to answer","White","Prefer not to answer","Moderate","Yes","Strongly agree","Dream job","No","No","Somewhat serious","Somewhat agree","Live forever"
"2024/11/19 10:16:42 AM EST","2028","Life Sciences","Woman","Straight","White","No, I do not participate in varsity or club athletics","Moderate","No","Prefer not to answer","Ideal romantic partner","No","No","Somewhat serious","Strongly agree","Live forever"
"2024/11/19 10:20:06 AM EST","2027","Physical Sciences (including math, computer science)","Woman","Straight","Asian;White","No, I do not participate in varsity or club athletics","Moderate","No","Somewhat agree","Dream job","No","No","Not too serious","Somewhat agree","Live forever"
"2024/11/19 10:21:30 AM EST","2025","Physical Sciences (including math, computer science)","Man","Straight","Black","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Ideal romantic partner","No","No","Very serious","Somewhat agree","Live forever"
"2024/11/19 10:22:43 AM EST","2027","Physical Sciences (including math, computer science)","Man","Straight","Asian;White","Yes, varsity athletics","Moderate","No","Somewhat agree","Dream job","No","No","Not too serious","Strongly agree","Live forever"
"2024/11/19 10:22:43 AM EST","2028","Physical Sciences (including math, computer science)","Man","Straight","Asian","Yes, club athletics","Moderate","Yes","Somewhat agree","Dream job","No","No","Not too serious","Somewhat agree","Live forever"
"2024/11/19 10:24:37 AM EST","2028","Humanities/Arts;Life Sciences","Man","Bisexual","Hispanic or Latino","No, I do not participate in varsity or club athletics","Unsure","No","Strongly disagree","Dream job","No","No","Not too serious","Strongly agree","Live forever"
"2024/11/19 10:25:15 AM EST","2026","Social Sciences (including economics, CLPS)","Woman","Straight","Hispanic or Latino","Yes, club athletics","Moderate","Yes","Strongly agree","Ideal romantic partner","No","Unsure","Somewhat serious","Strongly agree","Live forever"
"2024/11/19 10:25:39 AM EST","2026","Social Sciences (including economics, CLPS)","Man","Bisexual","Asian","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat disagree","Ideal romantic partner","No","No","Somewhat serious","Strongly agree","Live forever"
"2024/11/19 10:26:59 AM EST","2025","Life Sciences","Man","Straight","White","Yes, club athletics","Moderate","No","Somewhat agree","Ideal romantic partner","Unsure","No","Somewhat serious","Strongly agree","Live forever"
"2024/11/19 10:27:19 AM EST","2028","Life Sciences;Physical Sciences (including math, computer science)","Man","Straight","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Ideal romantic partner","No","No","Somewhat serious","Somewhat agree","Live forever"
"2024/11/19 10:28:45 AM EST","2028","Social Sciences (including economics, CLPS)","Man","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Ideal romantic partner","No","No","Not too serious","Strongly agree","Live forever"
"2024/11/19 10:29:29 AM EST","2025","Physical Sciences (including math, computer science)","Woman","Bisexual;Queer","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","Unsure","No","Not too serious","Somewhat agree","Prefer not to answer"
