"Timestamp","What is your current graduation year?","How would you describe your gender identity?","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","Do you participate in athletics at Brown? Select all that apply.","To what extent are you informed about the Israel-Hamas War?","To what extent do you think the average Brown student is informed about the Israel-Hamas War?","Which of the following statements do you most agree with?","Have you ever considered transferring from Brown to another undergraduate institution? ","Do you have access to a credit or debit card that is paid for by a parent/guardian?","To what extent do you agree or disagree with the following statement: I feel comfortable expressing my religion on Brown’s campus.","Which of the following statements comes closest to your view?","How likely are you to donate money to Brown University or an affiliated organization in the future?","Would you date a first-year student at Brown?"
"2023/10/17 10:07:55 AM AST","2027","Male","White","Physical Sciences (including math, computer science)","Yes, varsity athletics","Somewhat informed","Very informed","The United States of America is not in decline","No","Yes","I do not actively practice a religion","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Unsure"
"2023/10/17 10:12:43 AM AST","2027","Female","Asian","Life Sciences","Yes, club athletics","Somewhat uninformed","Somewhat uninformed","The United States of America is not in decline","No","Yes","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","Yes"
"2023/10/17 10:15:00 AM AST","2025","Female","Asian","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat uninformed","Unsure","No","No","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/17 10:15:37 AM AST","2024","Non-binary","Asian;Native Hawaiian or Pacific Islander;White","Humanities/Arts;Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat uninformed","Somewhat uninformed","The United States of America is in decline","No","No","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","Yes"
"2023/10/17 10:16:55 AM AST","2026","Male","Asian","Life Sciences","Yes, club athletics","Very uninformed","Somewhat uninformed","The United States of America is not in decline","No","Yes","Somewhat disagree","Unsure","Very likely","Yes"
"2023/10/17 10:17:39 AM AST","2024","Male","Asian","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","No","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","No"
"2023/10/17 10:18:40 AM AST","2024","Male","White","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","Prefer not to answer","Yes","Yes","Somewhat agree","Prefer not to answer","Somewhat likely","No"
"2023/10/17 10:20:16 AM AST","2026","Female","White","Humanities/Arts;Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/17 10:22:18 AM AST","2026","Male","White","Life Sciences;Physical Sciences (including math, computer science)","Yes, intramural athletics","Somewhat uninformed","Somewhat uninformed","Prefer not to answer","No","No","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/17 10:22:35 AM AST","2027","Female","White","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Very uninformed","Somewhat informed","The United States of America is not in decline","No","No","Strongly agree","Unsure","Somewhat unlikely","No"
"2023/10/17 10:23:36 AM AST","2027","Male","White","Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat informed","Unsure","Unsure","No","No","Unsure","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Yes"
"2023/10/17 10:25:10 AM AST","2026","Male","Asian;White","Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Somewhat uninformed","Somewhat informed","Prefer not to answer","No","Yes","I do not actively practice a religion","Unsure","Unsure","No"
"2023/10/17 10:27:14 AM AST","2025","Male","White","Humanities/Arts;Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Unsure","Very unlikely","No"
"2023/10/17 10:27:14 AM AST","2027","Male","Asian","Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Somewhat uninformed","Somewhat uninformed","Unsure","No","Unsure","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Yes"
"2023/10/17 10:30:18 AM AST","2024","Male","White","Physical Sciences (including math, computer science)","Yes, intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/17 10:30:34 AM AST","2025","Male","White","Humanities/Arts;Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat informed","The United States of America is in decline","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/17 10:35:26 AM AST","2026","Female","Asian","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Unsure","Somewhat informed","The United States of America is in decline","Unsure","No","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","No"
"2023/10/17 10:43:34 AM AST","2026","Female","Asian","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer"
"2023/10/17 10:45:17 AM AST","2025","Male","Asian;White","Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat informed","Somewhat informed","Unsure","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
