"Timestamp","What is your current graduation year?","How would you describe your gender identity? Check all that apply.","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","Which of the following do you consider yourself to be?","Are you currently in a relationship?","Who do you think will win the 2024 US Presidential election?","How often do you use marijuana?","Who is primarily responsible for paying your college tuition (that is not covered by financial aid)?","Have you ever used ChatGPT (or other generative AI) in violation of a course policy?","Are your parents currently married (to each other) ?","How often do you have sex?","Do you usually lock the door when you leave your dorm, suite, or house/apartment?","If you could be President of the US at some point in your life, would you want the job?","Do you think you have more sex than the average Brown student?"
"2024/10/08 11:09:41 AM AST","2026","Woman","Black","Humanities/Arts;Social Sciences (including economics, CLPS)","Straight","No","Kamala Harris","I have never used marijuana","My tuition is fully covered by financial aid/grants/scholarships","No","No, divorced or separated","I have never had sex","No","No","No, significantly less"
"2024/10/08 11:13:11 AM AST","2027","Woman","Black","Humanities/Arts;Physical Sciences (including math, computer science)","Straight","No","Unsure","4-5 times per week","My parents or guardians pay all of my tuition","Yes","Yes","I have never had sex","No","No","No, somewhat less"
"2024/10/08 11:14:02 AM AST","2026","Woman","Asian","Physical Sciences (including math, computer science)","Straight","No","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","Yes","Yes","I have never had sex","No","No","No, somewhat less"
"2024/10/08 11:15:25 AM AST","2028","Woman","Middle Eastern or North African","Physical Sciences (including math, computer science)","Questioning","No","Kamala Harris","Less than once a month","I pay part of my tuition and my parents or guardians pay part of my tuition","No","No, divorced or separated","I have never had sex","No","No","No, somewhat less"
"2024/10/08 11:17:02 AM AST","2028","Woman","White","Humanities/Arts","Straight","No","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","Prefer not to answer","Yes","Yes","Prefer not to answer"
"2024/10/08 11:18:59 AM AST","2028","Woman","Asian","Life Sciences;Physical Sciences (including math, computer science)","Straight","Yes","Kamala Harris","I have never used marijuana","My tuition is fully covered by financial aid/grants/scholarships","Unsure","Yes","Unsure","Unsure","Yes","No, significantly less"
"2024/10/08 11:21:33 AM AST","2027","Woman","Asian","Life Sciences;Social Sciences (including economics, CLPS)","Questioning","Yes","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","No","No, divorced or separated","Less than once a month","Yes","No","No, somewhat less"
"2024/10/08 11:24:42 AM AST","2026","Man","Black","Social Sciences (including economics, CLPS)","Straight","Yes","Unsure","2-3 times per week","My parents or guardians pay all of my tuition","No","Yes","2-3 times per month","Yes","No","Unsure"
"2024/10/08 11:25:23 AM AST","2026","Woman","White","Social Sciences (including economics, CLPS)","Bisexual","No","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","Unsure","Yes","Once a month","Yes","Yes","About average"
"2024/10/08 11:29:15 AM AST","2026.5","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Gay","No","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","Unsure","No, divorced or separated","Less than once a month","Yes","Yes","No, significantly less"
