Timestamp,What gender do you identify with?,What race do you identify with?,Did you apply to Brown a domestic or international applicant?,What graduation class are you?,What type of financial aid do you receive from Brown?,What is your intended concentration? ,"If you've declared a second concentration, what is it?",Should Brown require applicants to submit a standardized test score (ACT/SAT)?,Do you believe that Brown should maintain preferential admissions for children of alumni?,Have you ever checked out a physical book from a Brown library?,What do you call the dorms located on Vartan Gregorian Quad?,Which Covid-19 restrictions do you think should be in place right now?, [CW: The following question refers to sexual activity] When was the last time you had sex?,[CW: The following question refers to drug use] Which of the following drugs have you used recreationally in the past six months?,"If economic sanctions do not stop Russian military actions in Ukraine, would you favor or oppose the US taking military action to stop them?"
2022/03/02 10:34:07 AM AST,Female,White,Domestic,2024,Grants covering some costs,Health and Human Biology,,No,No,Yes,Greg,"Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Less than one week ago,None of the above,Unsure
2022/03/02 10:34:12 AM AST,Non-binary,White,Domestic,2024,None,CS,Music,No,No,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than six months ago,Alcohol;Marijuana,Unsure
2022/03/02 10:36:36 AM AST,Male,Asian,Domestic,2025,Grants covering some costs,Applied Math - Computer Science; Music,,No,No,No,Greg,Required masking in class;Mandatory Covid-19 testing,I’ve never had sex,None of the above,Favor
2022/03/02 10:40:33 AM AST,Female,Black,International,2024,None,Education,Dance,No,No,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than one month ago,Alcohol;Marijuana,Unsure
2022/03/02 10:42:18 AM AST,Male,Black,Domestic,2023,None,Compiuter Science,English,No,Unsure,Yes,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",More than six months ago,Alcohol;Marijuana,Unsure
2022/03/02 10:49:12 AM AST,Female,White,Domestic,2024,None,Biological Anthropology,Psychology (intended),Unsure,No,No,Greg,Required masking in class;Mandatory Covid-19 testing,I’ve never had sex,Alcohol;Marijuana,Unsure
2022/03/02 10:49:25 AM AST,Female,White,Domestic,2024.5,None,Public Health,,No,No,No,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",More than six months ago,Alcohol,Oppose
2022/03/02 10:51:07 AM AST,Male,White,Domestic,2025,None,Political Science / Econ,,Yes,No,No,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",I’ve never had sex,Alcohol,Unsure
2022/03/02 10:51:10 AM AST,Male,White,Domestic,2025,None,none,none,Yes,No,No,Greg,None of the above,Less than one week ago,Alcohol;Marijuana,Oppose
2022/03/02 10:52:43 AM AST,Male,White,Domestic,2023.5,None,Computer Science,,Yes,No,No,New Dorm,Required masking in class,I’ve never had sex,Alcohol,Favor
2022/03/02 10:53:04 AM AST,Female,White,International,2022,None,Economics,Economics,No,Yes,No,New Dorm,None of the above,Less than one week ago,Alcohol;Marijuana,Favor
2022/03/02 11:00:29 AM AST,Female,Asian,International,2023,Grants covering some costs,Apma-econ,cs,Unsure,No,Yes,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than one week ago,Alcohol,Oppose
2022/03/02 11:07:20 AM AST,Male,Asian;Non-white Hispanic,Domestic,2023,None,Public Health,Health and Human Biology,Yes,Yes,No,New Dorm,None of the above,More than six months ago,Alcohol;Nicotine,Oppose
2022/03/02 11:10:30 AM AST,Male,Asian;White,Domestic,2023,None,STS,Health and Human Bio ,Yes,No,No,New Dorm,None of the above,Less than one week ago,Alcohol;Inhalants (Poppers/Whip-its);Nicotine,Unsure
2022/03/02 11:13:39 AM AST,Male,Native Hawaiian/Pacific Islander,Domestic,2024,None,biochem,,Yes,No,No,Greg,None of the above,More than six months ago,Alcohol;Marijuana,Favor
2022/03/02 11:21:34 AM AST,Male,Black,International,2023,Grants covering all costs,Biochemistry,,No,Unsure,No,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Less than one week ago,Prefer not to answer,Unsure
2022/03/02 11:23:49 AM AST,Male,Asian,International,2024,Grants covering some costs,"APMA-CS, Linguistics",N/A,Prefer not to answer,Unsure,Yes,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",I’ve never had sex,None of the above,Unsure
2022/03/02 11:32:36 AM AST,Female,Middle Eastern ,Domestic,2023,None,Health and Human Biology ,,Yes,No,No,New Dorm,None of the above,More than six months ago,Alcohol,Unsure
2022/03/02 11:42:40 AM AST,Female,White,Domestic,2024,None,Neuro,,No,No,Yes,Greg,Required masking in class;Mandatory Covid-19 testing,Less than one month ago,None of the above,Unsure
2022/03/02 11:45:17 AM AST,Male,mixed,International,2025,Grants covering some costs,humanities/social sciences,,No,No,Yes,Greg,Mandatory Covid-19 testing,I’ve never had sex,None of the above,Oppose
2022/03/02 11:46:33 AM AST,Female,White,Domestic,2024,None,political science,,Unsure,No,Yes,Greg,Required masking in class,Less than one week ago,Alcohol,Oppose
2022/03/02 11:48:38 AM AST,Female,White,Domestic,2025,Grants covering some costs,IAPA,,No,No,Yes,Vartan Gregorian Quad (A/B),Required masking in class;Mandatory Covid-19 testing,Less than six months ago,Alcohol;Marijuana;Nicotine,Unsure
2022/03/02 11:51:44 AM AST,Female,White,Domestic,2023,None,Public Health,English,Unsure,No,No,New Dorm,None of the above,Less than one week ago,Alcohol;Marijuana;MDMA (Ecstasy/Molly),Favor
