"Timestamp","What gender do you identify with?","What race do you identify with?","What graduation class are you?","What is the maximum size of an indoor social gathering (without masking) that you would feel comfortable attending right now?","Which Covid-19 restrictions do you think should be in place right now? (check all that apply)","Which Covid-19 restrictions would you support if Brown were to see a rise in cases similar to the increase in early September of this year? (check all that apply)","How worried are you about getting seriously sick from Covid-19?","How would you describe your political views?","Do you think you are more liberal, more conservative, or about the same as the median Brown student?"," Do you approve or disapprove of the way Joe Biden is handling his job as President?","How happy are you that you go to Brown?","Which of the following do you check on a regular basis? (check all that apply)","How satisfied are you with the overall experience of Brown dining at the moment?"
"2021/10/12 7:23:31 PM AST","Male","American Indian/Alaska Native","2021.5","5 people","Required masking in class","Required masking in libraries","I am not very worried about getting seriously sick from Covid-19","Very conservative","About the same","Strongly disapprove","Neither happy nor unhappy","Official Brown website and social media;The College Hill Independent;Brown meme pages;Class Facebook page","Very unsatisfied"
"2021/10/12 7:27:07 PM AST","Female","Asian","2024.5","25 people","Prefer not to answer","Required masking in athletic facilities (Nelson, OMAC, etc.)","I am somewhat worried about getting seriously sick from Covid-19","Liberal","More conservative","Neither approve nor disapprove","Somewhat unhappy","Brown meme pages;Class Facebook page","Unsatisfied"
"2021/10/12 7:28:26 PM AST","Female","Asian","2025","10 people","Required masking in libraries","Mandatory Covid-19 testing","I am extremely worried about getting seriously sick from Covid-19","Very conservative","More conservative","Neither approve nor disapprove","Somewhat unhappy","The Brown Daily Herald;Brown meme pages","Unsatisfied"
"2021/10/13 9:58:08 AM AST","Female","Asian","2023","100 people","Required masking in class","Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Neither approve nor disapprove","Very happy","Official Brown website and social media pages;Dear Blueno","Satisfied"
"2021/10/13 10:00:26 AM AST","Female","White","2023","25 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Moderate","Unsure/prefer not to answer","Somewhat disapprove","Somewhat happy","Brown meme pages","Neutral"
"2021/10/13 10:00:55 AM AST","Female","White","2025","15 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Very liberal","About the same","Somewhat approve","Somewhat happy","The Brown Daily Herald website;Brown meme pages","Neutral"
"2021/10/13 10:02:25 AM AST","Female","White","2025","No maximum","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Very liberal","About the same","Somewhat approve","Very happy","The Brown Daily Herald website;Official Brown website and social media pages;Brown meme pages","Very satisfied"
"2021/10/13 10:03:32 AM AST","Female","White","2025","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Liberal","About the same","Neither approve nor disapprove","Very happy","The Brown Daily Herald website;Official Brown website and social media pages","Neutral"
"2021/10/13 10:05:06 AM AST","Male","White","2023","Prefer not to answer","Prefer not to answer","Prefer not to answer","I am not very worried about getting seriously sick from Covid-19","Unsure/prefer not to answer","Unsure/prefer not to answer","Prefer not to answer","Unsure/prefer not to answer","Official Brown website and social media pages;Brown meme pages","No opinion/prefer not to answer"
"2021/10/13 10:05:27 AM AST","Male","White","2022","50 people","Required masking in class;Mandatory Covid-19 testing","Required masking in class;Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not at all worried about getting seriously sick from Covid-19","Liberal","More conservative","Somewhat approve","Very happy","Official Brown website and social media pages;Brown meme pages","I am not on meal plan"
"2021/10/13 10:07:32 AM AST","Female","White","2022","50 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Very happy","","I am not on meal plan"
"2021/10/13 10:08:32 AM AST","Male","White","2022","25 people","Required masking in class;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Moderate","More conservative","Unsure/no opinion","Very happy","Dear Blueno","No opinion/prefer not to answer"
"2021/10/13 10:09:30 AM AST","Male","White","2022","50 people","Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat disapprove","Very happy","The Brown Daily Herald website;Dear Blueno;Brown meme pages","Neutral"
"2021/10/13 10:10:43 AM AST","Female","Black","2025","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Unsure/prefer not to answer","Unsure/prefer not to answer","Neither approve nor disapprove","Somewhat happy","The Brown Daily Herald website;Official Brown website and social media pages","Satisfied"
"2021/10/13 10:10:56 AM AST","Female","Asian","2025","25 people","Required masking in class;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Liberal","About the same","Unsure/no opinion","Very happy","Official Brown website and social media pages;Brown meme pages","Neutral"
"2021/10/13 10:12:14 AM AST","Male","","2025","15 people","Required masking in class;Required masking in libraries","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Liberal","More conservative","Strongly approve","Very happy","Brown meme pages","Satisfied"
