"Timestamp","What gender do you identify with?","What race do you identify with?","What graduation class are you?","What is your (intended) field of study?","How responsive do you think the Brown administration is to student movements in general?","Which of the following statements best describes your experience with online and in-person classes at Brown?","When you watch a recorded lecture, what speed do you watch it on?","What aspects of online learning do you want in your own classes as we transition back to fully in-person learning?","Overall, how would you rate your mental health?","This semester, do you feel that your professors have taken your mental health into account?","What is the capital of Canada?","Have you purposely stolen from Brown dining halls/cafes?","Should Brown mandate Covid-19 booster shots for undergraduates?"
"2021/12/02 11:05:28 AM AST","Female","White","2024","STEM","Somewhat unresponsive","Online classes are about as difficult as in-person classes","1.75x","Recorded lectures;Take-home exams","Okay","Unsure","Toronto","Yes, many times","Yes"
"2021/12/02 11:07:08 AM AST","Non-binary","White","2025","STEM","Somewhat unresponsive","Unsure","1x","Recorded lectures;Online office hours;Zoom sections","Okay","No","","Yes, once","Yes"
"2021/12/02 11:08:19 AM AST","Male","White","2023","STEM","Somewhat responsive","Online classes are much less difficult than in-person classes","2x","Recorded lectures;Take-home exams","Good","No","Vancouver","Yes, a few times","Yes"
"2021/12/02 11:12:22 AM AST","Female","Black","2025","Humanities","Neither responsive nor unresponsive","Unsure","1.50x","Asynchronous classes;Recorded lectures;Online office hours","Poor","No","","Yes, a few times","Yes"
"2021/12/02 11:15:36 AM AST","Male","Asian;White","2025","STEM","Somewhat responsive","Unsure","1.50x","Recorded lectures;Zoom sections","Good","Yes","Ottawa","Unsure","Yes"
"2021/12/02 11:17:58 AM AST","Female","Black","2022","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1x","Recorded lectures;Take-home exams;Zoom sections","Good","Unsure","Ontario","Never","Yes"
"2021/12/02 11:20:06 AM AST","Male","White","2023","Prefer not to answer","Neither responsive nor unresponsive","Online classes are somewhat less difficult than in-person classes","1.50x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours","Okay","Yes","Ottawa ","Never","No"
"2021/12/02 11:27:10 AM AST","Female","Black","2024","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.75x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Very good","Yes","Montreal","Yes, many times","Yes"
"2021/12/02 11:33:26 AM AST","Female","Black;White","2023","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.25x","Recorded lectures;Take-home exams","Good","Yes","Toronto","Yes, a few times","Yes"
"2021/12/02 11:39:25 AM AST","Female","Black;White","2022","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures;Take-home exams;Online office hours","Poor","No","","Yes, a few times","Yes"
"2021/12/02 11:50:01 AM AST","Male","White","2025","Humanities","Somewhat responsive","Unsure","Unsure","Prefer not to answer","Very good","Yes","Quebec","Yes, a few times","Yes"
"2021/12/02 12:02:46 PM AST","Female","Asian","2025","Humanities","Somewhat responsive","Prefer not to answer","Prefer not to answer","Recorded lectures;Online office hours","Okay","Yes","","Yes, a few times","Yes"
"2021/12/02 12:05:50 PM AST","Female","Black","2023","Humanities","Somewhat unresponsive","Online classes are about as difficult as in-person classes","1.50x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours","Okay","Unsure","Ottowa ","Yes, a few times","Yes"
"2021/12/02 12:07:02 PM AST","Female","Black;White","2023","Humanities","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.75x","Recorded lectures;Take-home exams;Online office hours;Zoom sections","Poor","No","Ottawa","Yes, a few times","Yes"
"2021/12/02 12:10:52 PM AST","Female","Asian;White","2022.5","STEM","Somewhat responsive","Online classes are about as difficult as in-person classes","1.25x","Recorded lectures;Take-home exams;Online office hours","Good","Yes","Montreal","Never","Yes"
"2021/12/02 12:19:22 PM AST","Female","White","2024","Prefer not to answer","Unsure","Online classes are about as difficult as in-person classes","1.25x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Poor","Unsure","Ottawa","Yes, many times","Yes"
"2021/12/02 12:31:07 PM AST","Male","White","2025","STEM","Neither responsive nor unresponsive","Unsure","1x","Recorded lectures;Take-home exams","Good","Unsure","Not Toronto","Never","Yes"
"2021/12/02 12:35:05 PM AST","Male","Non-white Hispanic","2024","STEM","Neither responsive nor unresponsive","Online classes are much more difficult than in-person classes","1.25x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Okay","Yes","Ottowa","Never","No"
"2021/12/02 12:38:40 PM AST","Female","Prefer not to answer","2023","STEM","Somewhat unresponsive","Online classes are about as difficult as in-person classes","1.50x","Recorded lectures;Take-home exams;Online office hours;Zoom sections","Okay","Unsure","Ontario","Never","Yes"
"2021/12/02 12:44:09 PM AST","Female","White","2024","Humanities","Somewhat responsive","Online classes are somewhat more difficult than in-person classes","1.25x","Recorded lectures","Okay","No","Ontario","Never","Yes"
"2021/12/02 12:48:05 PM AST","Male","Asian","2022","STEM","Somewhat unresponsive","Online classes are somewhat more difficult than in-person classes","1.75x","Recorded lectures;Take-home exams;Online office hours","Good","Yes","Idk","Never","Yes"
"2021/12/02 12:53:44 PM AST","Male","Asian","2023","STEM","Very unresponsive","Online classes are about as difficult as in-person classes","1.75x","Recorded lectures;Take-home exams;Online office hours","Okay","Yes","Ontario","Never","Unsure"
"2021/12/02 1:03:16 PM AST","Prefer not to answer","White","2024","Social Sciences","Somewhat unresponsive","Prefer not to answer","2x","Recorded lectures;Take-home exams","Good","Yes","Ottowa","Never","Yes"
"2021/12/02 1:04:42 PM AST","Female","White","2025","Humanities","Unsure","Prefer not to answer","2x","Recorded lectures;Take-home exams;Online office hours","Okay","Yes","IDK","Never","Yes"
"2021/12/02 1:06:04 PM AST","Male","White","2025","Social Sciences","Somewhat responsive","Unsure","1x","Unsure","Good","Yes","Montreal","Never","Unsure"
"2021/12/02 1:06:32 PM AST","Male","White","2024","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","2x","Recorded lectures;Take-home exams;Online office hours","Poor","No","Ottowa","Yes, a few times","No"
"2021/12/02 1:08:35 PM AST","Male","Black;White","2025","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures","Okay","Yes","Toronto ","Yes, many times","Yes"
"2021/12/02 1:10:28 PM AST","Female","Asian","2024","Arts","Somewhat unresponsive","Online classes are much less difficult than in-person classes","2x","Take-home exams","Poor","Unsure","Toronto","Yes, once","Yes"
"2021/12/02 1:11:22 PM AST","Male","White","2024","Arts","Somewhat unresponsive","Online classes are much less difficult than in-person classes","1.75x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours","Okay","Unsure","Alberta?","Never","Yes"
"2021/12/02 1:17:30 PM AST","Female","Non-white Hispanic","2025","STEM","Very unresponsive","Online classes are somewhat more difficult than in-person classes","1.50x","Recorded lectures;Take-home exams;Online office hours","Okay","Unsure","","Never","Yes"
"2021/12/02 1:19:09 PM AST","Male","White","2023","Social Sciences","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1x","Recorded lectures;Take-home exams","Okay","No","","Yes, a few times","Yes"
"2021/12/02 1:19:53 PM AST","Male","White","2023","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures;Take-home exams","Good","Yes","","Yes, a few times","No"
"2021/12/02 1:20:50 PM AST","Female","White","2024","Humanities","Neither responsive nor unresponsive","Online classes are somewhat less difficult than in-person classes","2x","Recorded lectures;Take-home exams;Online office hours","Okay","Yes","Ottawa","Yes, a few times","Yes"
