"Timestamp","What gender do you identify with?","What race(s) do you identify with?","What graduation class are you?","What is your (intended) concentration area(s)?","What religious tradition(s) do you identify with?","Do you think you’re smarter than the average Brown student?","Are you currently in a relationship?","What is your favorite dining hall on campus?","On average, how often do you change your sheets?","Do you believe in God/gods or a higher power?","What is your GPA?","Do you think America is the greatest country in the world?","Do you believe that there is other intelligent life in the universe?"
"2022/04/20 10:29:48 AM AST","Male","White","2024","Life Sciences;Social Sciences","Christianity","Yes, slightly smarter","No","Andrews Commons","Every two weeks","Yes","4.0","Yes","Unlikely"
"2022/04/20 10:33:29 AM AST","Male","Non-white Hispanic;White","2025","Physical Sciences (including math, CS)","I am agnostic","No, slightly less smart","No","Andrews Commons","Every month","Yes","Unsure","No","Definitely"
"2022/04/20 10:33:55 AM AST","Male","Middle East and North Africa (MENA)","2025","Physical Sciences (including math, CS)","Islam","Yes, slightly smarter","No","Andrews Commons","Every month","Yes","4.0","No","Likely"
"2022/04/20 10:37:17 AM AST","Male","White","2025","Physical Sciences (including math, CS);Social Sciences","Christianity","Yes, slightly smarter","No","Josiah's (Jo's)","Every two months","Yes","4.0","No","Definitely"
"2022/04/20 10:38:22 AM AST","Female","White","2023","Social Sciences","I am agnostic;I am atheist","No, slightly less smart","Yes","Verney-Wooley (V-dub)","Every two months","No","3.5-3.59","No","Likely"
"2022/04/20 10:39:04 AM AST","Male","White","2025","Unsure","Christianity","No, slightly less smart","Yes","Andrews Commons","Every two months","Yes","3.0-3.24","Yes","Definitely"
"2022/04/20 10:41:32 AM AST","Male","White","2023","Physical Sciences (including math, CS)","I am atheist","Yes, slightly smarter","No","Verney-Wooley (V-dub)","Every month","No","4.0","No","Unlikely"
"2022/04/20 10:43:21 AM AST","Female","White","2023.5","Social Sciences","Christianity","No, slightly less smart","Yes","Sharpe Refectory (Ratty)","Every two weeks","No","3.8-3.89","No","Likely"
"2022/04/20 10:44:15 AM AST","Female","Asian","2024","Life Sciences;Physical Sciences (including math, CS)","Christianity","Prefer not to answer","No","Ivy Room","Every two months","Yes","4.0","No","Likely"
"2022/04/20 10:45:10 AM AST","Female","White","2025","Humanities/Arts","Unsure","Yes, slightly smarter","No","Ivy Room","Every month","Unsure","3.8-3.89","No","Unlikely"
"2022/04/20 10:45:29 AM AST","Female","White","2025","Social Sciences","Judaism","No, slightly less smart","Yes","Ivy Room","Every month","Yes","4.0","Unsure","Likely"
"2022/04/20 10:50:06 AM AST","Male","White","2025","Humanities/Arts","Judaism","Yes, slightly smarter","No","Andrews Commons","Every two weeks","Unsure","3.7-3.79","Unsure","Likely"
"2022/04/20 10:50:17 AM AST","Male","Asian","2024","Humanities/Arts","Christianity","Yes, slightly smarter","No","Prefer not to answer","Prefer not answer","Yes","3.9-3.99","Yes","Likely"
"2022/04/20 10:50:58 AM AST","Female","Black;White","2024","Humanities/Arts;Physical Sciences (including math, CS)","I am agnostic","No, slightly less smart","No","Andrews Commons","Every month","Unsure","3.25-3.49","Unsure","Likely"
"2022/04/20 10:52:41 AM AST","Male","White","2025","Social Sciences","Judaism;I am atheist","Yes, slightly smarter","No","Verney-Wooley (V-dub)","Every two weeks","No","4.0","No","Definitely"
