"Timestamp","What is your current graduation year?","How would you describe your gender identity?","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","Did you vote in the November general election?","Do you think you’re more attractive than the average Brown University student?","If you could go to any undergraduate institution of your choosing (excluding Brown) which would it be?","Would you consider yourself more of a cat person or a dog person?","Do you believe President Joe Biden should run for a second term in 2024?","Do you believe colleges should consider race/ethnicity when making decisions about student admissions?","What is your height in feet/inches?","Opinion: Professors, administrators, and community leaders at Brown should regularly make land acknowledgments."
"2022/11/28 11:05:06 AM AST","2026","Female","Asian","Life Sciences","No","Prefer not to answer","Stanford","Dog person","No","Yes","5'0","Strongly agree"
"2022/11/28 11:06:39 AM AST","2024","Non-binary","Native Hawaiian/Pacific Islander","Humanities/Arts","Yes, in a state other than Rhode Island","Yes, slightly more attractive","University of Hawai'i at Manoa","Dog person","No","Yes","6'0","Somewhat agree"
"2022/11/28 11:07:09 AM AST","2023.5","Non-binary","Black","Humanities/Arts;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No","No, slightly less attractive","Pomona College","Cat person","Prefer not to answer","Yes","5'7","Strongly agree"
"2022/11/28 11:13:01 AM AST","2025","Female","Hispanic","Social Sciences (including economics, CLPS)","No","No, slightly less attractive","NYU","Cat person","No","Yes","5'4","Unsure"
"2022/11/28 11:17:20 AM AST","2024","Male","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","I am not eligible to vote","Yes, slightly more attractive","MIT","Cat person","No","No","5'9","Somewhat agree"
"2022/11/28 11:21:12 AM AST","2026","Female","Asian","Life Sciences;Social Sciences (including economics, CLPS)","No","Yes, slightly more attractive","umich","Cat person","Yes","No","5'4","Somewhat agree"
"2022/11/28 11:29:52 AM AST","2023","Female","Asian","Humanities/Arts;Life Sciences","I am not eligible to vote","Yes, slightly more attractive","Pomona College","Cat person","Prefer not to answer","Yes","5'5","Somewhat disagree"
"2022/11/28 11:42:13 AM AST","2026","Female","Asian","Physical Sciences (including math, computer science)","No","Yes, slightly more attractive","MIT","Dog person","Yes","Yes","5'1","Strongly agree"
"2022/11/28 11:43:53 AM AST","2025","Male","White","Humanities/Arts","Yes, in a state other than Rhode Island","Yes, slightly more attractive","yale","Cat person","Yes","Yes","6'1","Somewhat agree"
"2022/11/28 11:44:53 AM AST","2026","Female","Black","Life Sciences","No","Prefer not to answer","berkeley","Cat person","No","Yes","5'2","Somewhat agree"
"2022/11/28 11:45:45 AM AST","2025","Female","Native American/Alaska Native;White","Humanities/Arts","No","No, slightly less attractive","WashU","Dog person","Yes","Yes","5'5","Strongly agree"
"2022/11/28 11:46:21 AM AST","2025","Female","Asian","Life Sciences","No","No, slightly less attractive","not sure","Dog person","Prefer not to answer","Yes","5'3","Strongly agree"
"2022/11/28 11:46:47 AM AST","2025","Female","White","Social Sciences (including economics, CLPS)","Yes, in Rhode Island, which is not my home state","No, slightly less attractive","unsure","Dog person","Yes","Yes","5'8","Somewhat agree"
"2022/11/28 11:47:29 AM AST","2024","Male","White","Humanities/Arts","No","Yes, slightly more attractive","Yale","Dog person","No","Yes","6'0","Somewhat disagree"
"2022/11/28 11:48:35 AM AST","2024","Female","White","Life Sciences;Social Sciences (including economics, CLPS)","Yes, in Rhode Island, which is my home state","Yes, slightly more attractive","UVM Honors College","Prefer not to answer","No","Yes","5'6","Somewhat agree"
"2022/11/28 12:06:38 PM AST","2025","Male","Asian","Humanities/Arts;Life Sciences","Yes, in a state other than Rhode Island","Yes, slightly more attractive","university of georgia","Dog person","No","Prefer not to answer","6'0","Strongly agree"
"2022/11/28 12:08:49 PM AST","2025","Female","Black","Social Sciences (including economics, CLPS)","No","No, slightly less attractive","asu","Cat person","No","Yes","5'6","Somewhat agree"
"2022/11/28 12:10:30 PM AST","2024","Female","Black","Social Sciences (including economics, CLPS)","No","No, slightly less attractive","Stanford","Dog person","No","Prefer not to answer","5'6","Strongly agree"
"2022/11/28 12:11:58 PM AST","2026","Female","Middle Eastern or North African;White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","No, slightly less attractive","McGill ","Dog person","No","Prefer not to answer","5'7","Strongly agree"
"2022/11/28 12:13:05 PM AST","2026","Male","White","Social Sciences (including economics, CLPS)","No","No, slightly less attractive","Harvard","Dog person","No","Yes","6'2","Somewhat agree"
"2022/11/28 12:13:27 PM AST","2025","Male","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, significantly less attractive","Harvard","Dog person","Yes","No","5'8","Somewhat agree"
"2022/11/28 12:14:50 PM AST","2025","Male","White","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, significantly more attractive","Harvard","Cat person","Yes","Yes","5'9","Unsure"
"2022/11/28 12:15:55 PM AST","2023","Female","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Pomona College","Dog person","No","Yes","5'3","Somewhat agree"
"2022/11/28 12:18:03 PM AST","2026","Female","Black","Physical Sciences (including math, computer science)","No","No, significantly less attractive","north eastern","Dog person","No","Yes","5'4","Somewhat disagree"
"2022/11/28 12:18:18 PM AST","2024","Questioning or unsure","White","Physical Sciences (including math, computer science)","Yes, in Rhode Island, which is my home state","No, significantly less attractive","Oxford","Cat person","No","No","5'4","Strongly agree"
"2022/11/28 12:22:55 PM AST","2024","Female","White","Humanities/Arts;Physical Sciences (including math, computer science)","No","Yes, slightly more attractive","Columbia","Dog person","Yes","No","5'4","Unsure"
"2022/11/28 12:23:56 PM AST","2026","Male","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Prefer not to answer","Yale","Dog person","No","No","6'0","Strongly agree"
"2022/11/28 12:32:42 PM AST","2025","Male","Asian;White","Physical Sciences (including math, computer science)","No","Yes, slightly more attractive","Columbia University","Dog person","No","No","5'9","Somewhat disagree"
"2022/11/28 12:34:37 PM AST","2023","Female","Asian","Humanities/Arts","Yes, in a state other than Rhode Island","Yes, slightly more attractive","NYU Tisch","Dog person","No","Yes","5'3","Strongly agree"
"2022/11/28 12:36:56 PM AST","2023","Female","White","Social Sciences (including economics, CLPS)","Yes, in Rhode Island, which is not my home state","Yes, slightly more attractive","Northeastern University","Cat person","No","Yes","5'3","Somewhat disagree"
"2022/11/28 12:39:10 PM AST","2024","Male","Hispanic;Native American/Alaska Native;Native Hawaiian/Pacific Islander","Humanities/Arts;Life Sciences;Social Sciences (including economics, CLPS)","Yes, in Rhode Island, which is not my home state","Yes, significantly more attractive","Stanford","Dog person","No","Yes","6'1","Strongly agree"
"2022/11/28 12:41:28 PM AST","2023","Male","White","Life Sciences;Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, significantly more attractive","St. Andrew's","Cat person","Yes","No","5'11","Somewhat agree"
"2022/11/28 12:42:43 PM AST","2023","Male","Hispanic;White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Prefer not to answer","Yale","Dog person","No","Yes","5'10","Strongly agree"
"2022/11/28 12:43:53 PM AST","2023","Female","White","Humanities/Arts;Life Sciences","No","Prefer not to answer","Stanford","Dog person","No","Prefer not to answer","5'2","Unsure"
"2022/11/28 12:44:55 PM AST","2023","Female","White","Humanities/Arts;Life Sciences","Yes, in Rhode Island, which is my home state","Yes, slightly more attractive","Wesleyan","Cat person","No","Yes","5'3","Somewhat agree"
"2022/11/28 12:45:44 PM AST","2023","Female","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No","Prefer not to answer","yale","Dog person","No","No","5'6","Somewhat agree"
"2022/11/28 12:46:29 PM AST","2023","Female","White","Life Sciences","Yes, in Rhode Island, which is my home state","Yes, significantly more attractive","Boston College","Dog person","No","Yes","5'9","Somewhat agree"
"2022/11/28 12:46:39 PM AST","2026","Male","White","Physical Sciences (including math, computer science)","No","Prefer not to answer","McGill","Dog person","No","Prefer not to answer","5'9","Unsure"
"2022/11/28 12:49:06 PM AST","2024","Female","White","Life Sciences","Yes, in a state other than Rhode Island","No, slightly less attractive","Yale","Dog person","Yes","Yes","5'7","Strongly agree"
"2022/11/28 12:50:02 PM AST","2025","Male","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Brown","Dog person","Yes","No","5'8","Somewhat disagree"
"2022/11/28 12:52:38 PM AST","2023.5","Male","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","No, significantly less attractive","Stanford","Dog person","Yes","No","5'10","Somewhat disagree"
"2022/11/28 12:55:05 PM AST","2025","Female","Hispanic","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","Pomona College","Cat person","No","Yes","5'10","Strongly agree"
"2022/11/28 12:55:36 PM AST","2024","Female","White","Humanities/Arts","No","No, slightly less attractive","Northwestern maybe","Prefer not to answer","Yes","Yes","5'7","Somewhat agree"
"2022/11/28 12:57:10 PM AST","2026","Male","Hispanic","Physical Sciences (including math, computer science)","I am not eligible to vote","Yes, slightly more attractive","Harvard","Dog person","No","Yes","5'7","Somewhat agree"
"2022/11/28 12:57:57 PM AST","2024","Male","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","Harvard","Dog person","No","Yes","6'5","Somewhat agree"
"2022/11/28 12:59:44 PM AST","2023","Female","White","Humanities/Arts","Yes, in Rhode Island, which is not my home state","Yes, slightly more attractive","Northwestern","Dog person","No","Yes","5'8","Strongly agree"
"2022/11/28 1:01:01 PM AST","2024","Male","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","harvard","Dog person","Yes","Yes","5'7","Unsure"
"2022/11/28 1:04:49 PM AST","2023","Female","Hispanic;White","Life Sciences","No","Yes, slightly more attractive","Yale ","Dog person","No","Yes","5'3","Strongly agree"
"2022/11/28 1:05:09 PM AST","2024","Male","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","No, slightly less attractive","Rice","Dog person","No","Yes","5'7","Strongly agree"
"2022/11/28 1:06:04 PM AST","2023","Male","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","Yale","Dog person","Yes","Yes","5'11","Somewhat agree"
"2022/11/28 1:09:14 PM AST","2026","Male","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Yale University","Dog person","Yes","Yes","5'9","Somewhat agree"
"2022/11/28 1:09:25 PM AST","2024","Non-binary","Black;White","Humanities/Arts","Yes, in a state other than Rhode Island","Yes, slightly more attractive"," ","Cat person","No","Yes","5'9","Strongly agree"
"2022/11/28 1:11:38 PM AST","2024","Female","White","Life Sciences","Yes, in Rhode Island, which is not my home state","No, slightly less attractive","penn","Dog person","No","Yes","5'6","Strongly agree"
"2022/11/28 1:11:43 PM AST","2025","Male","Black","Humanities/Arts","No","Yes, slightly more attractive","Michigan ","Dog person","No","No","5'9","Somewhat disagree"
"2022/11/28 1:13:15 PM AST","2026","Questioning or unsure","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Columbia","Dog person","No","Yes","6'0","Strongly agree"
"2022/11/28 1:13:32 PM AST","2025","Female","Hispanic","Social Sciences (including economics, CLPS)","No","No, slightly less attractive","Yale ","Cat person","Prefer not to answer","No","4'11","Strongly agree"
"2022/11/28 1:14:50 PM AST","2026","Female","Asian","Life Sciences","I am not eligible to vote","Yes, slightly more attractive","Yale University","Prefer not to answer","Prefer not to answer","No","5'0","Somewhat agree"
"2022/11/28 1:15:28 PM AST","2023","Male","Asian","Social Sciences (including economics, CLPS)","No","No, slightly less attractive","Yale","Prefer not to answer","No","No","5'9","Somewhat disagree"
"2022/11/28 1:17:02 PM AST","2025","Male","White","Humanities/Arts","Yes, in a state other than Rhode Island","Prefer not to answer","Yale","Dog person","No","No","6'4","Somewhat agree"
"2022/11/28 1:19:03 PM AST","2023.5","Male","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Prefer not to answer","Stanford","Dog person","No","Yes","5'10","Somewhat agree"
"2022/11/28 1:20:34 PM AST","2023.5","Female","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","No, slightly less attractive","ETH","Dog person","No","Prefer not to answer","5'7","Somewhat agree"
"2022/11/28 1:21:23 PM AST","2026","Male","Asian","Social Sciences (including economics, CLPS)","I am not eligible to vote","Prefer not to answer","Princeton","Dog person","Yes","Yes","5'11","Strongly agree"
"2022/11/28 1:23:23 PM AST","2025","Female","White","Social Sciences (including economics, CLPS)","No","Yes, slightly more attractive","Kings College London","Dog person","Prefer not to answer","Yes","5'4","Strongly agree"
"2022/11/28 1:24:33 PM AST","2026","Male","White","Humanities/Arts;Social Sciences (including economics, CLPS)","No","Yes, slightly more attractive","Princeton","Dog person","No","Prefer not to answer","6'0","Somewhat agree"
"2022/11/28 1:24:40 PM AST","2023","Male","White","Life Sciences","Yes, in Rhode Island, which is my home state","Yes, slightly more attractive","Yale","Dog person","No","Yes","5'11","Somewhat disagree"
"2022/11/28 1:25:56 PM AST","2026","Male","Asian","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Columbia University","Dog person","No","No","6'0","Somewhat agree"
"2022/11/28 1:29:16 PM AST","2026","Non-binary","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, in Rhode Island, which is my home state","No, slightly less attractive","Georgetown University","Cat person","No","Yes","5'11","Strongly agree"
"2022/11/28 1:30:12 PM AST","2023","Male","Hispanic;White","Humanities/Arts;Physical Sciences (including math, computer science)","No","Yes, slightly more attractive","Would not go to school","Prefer not to answer","No","Yes","5'10","Strongly agree"
