"Timestamp","What is your current graduation year?","How would you describe your gender identity?","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","Did you attend a public or private high school?","How has your political ideology changed since coming to Brown?","During the semester, how many hours of sleep do you get per night on average?","Do you think ""cancel culture"" is an effective way to hold people accountable for their actions?","Have you ever used ChatGPT to assist with a class assignment?","Do you support the right to own guns in the United States?","Do you feel like you fit in at Brown?","Have you ever been rejected from a club or student organization at Brown?","Do you think you have better social skills than the average Brown student?","In your experience, were classes at your high school or at Brown more challenging?","Have you ever used a dating app while at Brown?"
"2023/03/01 10:56:13 AM AST","2026","Male","Asian","Physical Sciences (including math, computer science)","Public","My political ideology has not changed","7","Unsure","No, but I know what ChatGPT is","Unsure","Unsure","No","Yes, significantly better","Classes at my high school and at Brown have been equally challenging","Yes"
"2023/03/01 10:57:40 AM AST","2026","Female","Asian","Humanities/Arts;Life Sciences","Private","Prefer not to answer","7","No","No, but I know what ChatGPT is","Unsure","Unsure","No","No, slightly worse","Classes at my high school were more challenging","No"
"2023/03/01 10:58:31 AM AST","2026","Male","Asian;White","Physical Sciences (including math, computer science)","Private","My political ideology has not changed","4 or less","No","No, and I don't know what ChatGPT is","No","Yes","No","Yes, significantly better","Classes at my high school and at Brown have been equally challenging","No"
"2023/03/01 11:00:48 AM AST","2026","Male","Asian","Life Sciences","Public","My political ideology has not changed","6","No","No, and I don't know what ChatGPT is","No","Unsure","No","Yes, slightly better","Classes at my high school and at Brown have been equally challenging","No"
"2023/03/01 11:00:53 AM AST","2026","Male","Asian","Physical Sciences (including math, computer science)","Public","My political ideology has not changed","6","No","Yes","Yes","Unsure","No","Prefer not to answer","Classes at Brown are more challenging","No"
"2023/03/01 11:01:48 AM AST","2026","Male","Asian","Life Sciences","Private","Prefer not to answer","7","No","No, and I don't know what ChatGPT is","Yes","No","Yes","Yes, slightly better","Classes at my high school were more challenging","No"
"2023/03/01 11:04:11 AM AST","2024","Male","Asian","Life Sciences","Public","My political ideology has not changed","7","No","No, but I know what ChatGPT is","Yes","Yes","Yes","Yes, significantly better","Classes at my high school and at Brown have been equally challenging","Yes"
"2023/03/01 11:07:17 AM AST","2026","Male","Asian","Social Sciences (including economics, CLPS)","Public","My political ideology has not changed","8","No","No, but I know what ChatGPT is","Yes","Unsure","Yes","No, slightly worse","Classes at my high school and at Brown have been equally challenging","No"
"2023/03/01 11:07:47 AM AST","2026","Prefer not to answer","Two or More Races","Physical Sciences (including math, computer science)","Public","My political ideology has not changed","6","No","No, but I know what ChatGPT is","No","Yes","Yes","Prefer not to answer","Classes at Brown are more challenging","No"
"2023/03/01 11:08:52 AM AST","2026","Male","Hispanic","Life Sciences;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Public","I have become more liberal","8","No","No, but I know what ChatGPT is","No","Yes","No","No, slightly worse","Classes at my high school and at Brown have been equally challenging","Yes"
"2023/03/01 11:13:07 AM AST","2024.5","Female","White","Physical Sciences (including math, computer science)","Private","My political ideology has not changed","5","No","No, but I know what ChatGPT is","Yes","Yes","No","Yes, significantly better","Classes at my high school were more challenging","No"
