"Timestamp","What is your current graduation year?","What is your gender identity?","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area? Check all that apply.","How would you describe your family’s socioeconomic status?","Would you support or oppose the U.S. government banning TikTok?","When was the last time you cried?","Do you regret choosing to take a class S/NC rather than for a letter grade?","If you had to choose, would you rather raise a child starting now or never have the opportunity? (Baby now or never)","Which of the following statements applies to you? Check all that apply.","Who is the current Chief Justice of the United States Supreme Court?","Do you approve or disapprove of Brown Concert Agency’s artist selections for Spring Weekend?","On average, how many alcoholic beverages do you consume each week at Brown?"
"2023/04/11 11:10:35 AM AST","2025","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Middle class","Support","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","None of these statements applies to me","John Roberts","Strongly approve","5-10 drinks"
"2023/04/11 11:13:36 AM AST","2026","Non-binary","White","Humanities/Arts","Middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","lol ","Unsure","0-5 drinks"
"2023/04/11 11:15:59 AM AST","2025","Woman","Hispanic;White","Life Sciences","Middle class","Oppose","In the past month","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","idk","Unsure","0-5 drinks"
"2023/04/11 11:20:14 AM AST","2025","Woman","White","Humanities/Arts","Middle class","Support","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","sonya sotomayor","Somewhat approve","0-5 drinks"
"2023/04/11 11:21:33 AM AST","2025","Woman","White","Social Sciences (including economics, CLPS)","Upper class","Unsure","In the past week","No, I do not regret taking any classes S/NC","Unsure","Most of my close friends are the same race as me","idk","Somewhat disapprove","5-10 drinks"
"2023/04/11 11:26:40 AM AST","2025","Man","Asian","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","John Roberts","Strongly disapprove","20+ drinks"
"2023/04/11 11:31:22 AM AST","2025","Woman","White","Life Sciences;Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","","Somewhat approve","5-10 drinks"
"2023/04/11 11:38:29 AM AST","2023","Man","White","Social Sciences (including economics, CLPS)","Middle class","Support","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","idk","Somewhat approve","0-5 drinks"
"2023/04/11 11:40:24 AM AST","2025","Man","Black","Humanities/Arts;Social Sciences (including economics, CLPS)","Lower class","Oppose","More than a year ago","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","John J Roberts","Somewhat disapprove","10-15 drinks"
"2023/04/11 11:43:10 AM AST","2024","Woman","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Upper-middle class","Unsure","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat approve","0-5 drinks"
"2023/04/11 11:44:41 AM AST","2026","Woman","Black","Humanities/Arts","Upper class","Oppose","In the past week","No, I do not regret taking any classes S/NC","Unsure","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","je ne sais pas","Strongly disapprove","0-5 drinks"
"2023/04/11 11:46:35 AM AST","2026","Woman","Asian","Life Sciences","Middle class","Oppose","In the past week","I have never chosen to take a class S/NC","Prefer not to answer","Prefer not to answer","I dunno","Unsure","Zero – I don’t drink"
